PenId,WellPlateID,WellPlateIndex,WellRow,WellColumn,Barcode,ExportCount,Species,BarcodeSet
5068,WP30105,0,A,1,C1D0F1T0,1,mm,a4_121820
11291,WP30105,0,A,1,C0D0F1T0,1,mm,a4_121820
9609,WP30105,0,A,1,C0D0F1T1,1,mm,a4_121820
5095,WP30105,0,A,1,C1D0F0T1,1,mm,a4_121820
6638,WP30105,0,A,1,C0D1F1T1,1,mm,a4_121820
6492,WP30105,0,A,1,C1D0F0T0,1,mm,a4_121820
6646,WP30105,0,A,1,C1D1F0T0,1,mm,a4_121820
1838,WP30105,0,A,1,C0D0F0T1,2,mm,a4_121820
8141,WP30105,0,A,1,C1D1F1T1,1,mm,a4_121820
11282,WP30105,0,A,1,C0D1F0T0,1,mm,a4_121820
146,WP30105,0,A,1,C0D1F0T1,1,mm,a4_121820
9758,WP30105,0,A,1,C0D1F1T0,1,mm,a4_121820
372,WP30105,0,A,2,C0D1F1T0,1,mm,a4_121820
12855,WP30105,0,A,2,C0D1F1T1,1,mm,a4_121820
8001,WP30105,0,A,2,C0D1F0T1,1,mm,a4_121820
1900,WP30105,0,A,2,C1D1F1T1,1,mm,a4_121820
11285,WP30105,0,A,2,C0D1F0T0,1,mm,a4_121820
3551,WP30105,0,A,2,C1D1F0T0,1,mm,a4_121820
1923,WP30105,0,A,2,C1D0F1T0,1,mm,a4_121820
11297,WP30105,0,A,2,C1D0F0T1,1,mm,a4_121820
3446,WP30105,0,A,2,C0D0F1T0,1,mm,a4_121820
4946,WP30105,0,A,2,C1D0F0T0,1,mm,a4_121820
9452,WP30105,0,A,2,C0D0F1T1,2,mm,a4_121820
6552,WP30105,0,A,2,C0D0F0T1,0,mm,a4_121820
284,WP30105,0,A,3,C0D1F0T0,1,mm,a4_121820
1853,WP30105,0,A,3,C1D1F1T1,1,mm,a4_121820
12764,WP30105,0,A,3,C0D0F1T1,1,mm,a4_121820
11160,WP30105,0,A,3,C0D1F1T0,0,mm,a4_121820
348,WP30105,0,A,3,C1D1F0T0,2,mm,a4_121820
1805,WP30105,0,A,3,C0D0F1T0,1,mm,a4_121820
5039,WP30105,0,A,3,C1D0F0T1,1,mm,a4_121820
6475,WP30105,0,A,3,C1D0F1T0,1,mm,a4_121820
9490,WP30105,0,A,3,C1D0F0T0,1,mm,a4_121820
3276,WP30105,0,A,3,C0D1F0T1,1,mm,a4_121820
11213,WP30105,0,A,3,C0D0F0T1,1,mm,a4_121820
1903,WP30105,0,A,3,C0D1F1T1,0,mm,a4_121820
11222,WP30105,0,A,4,C1D1F1T1,1,mm,a4_121820
11230,WP30105,0,A,4,C0D0F0T1,1,mm,a4_121820
8021,WP30105,0,A,4,C0D1F1T1,1,mm,a4_121820
3553,WP30105,0,A,4,C1D1F0T0,1,mm,a4_121820
6422,WP30105,0,A,4,C0D0F1T0,1,mm,a4_121820
4787,WP30105,0,A,4,C1D0F0T0,1,mm,a4_121820
7957,WP30105,0,A,4,C0D1F1T0,1,mm,a4_121820
12730,WP30105,0,A,4,C0D0F1T1,1,mm,a4_121820
15979,WP30105,0,A,4,C0D1F0T1,1,mm,a4_121820
8149,WP30105,0,A,4,C0D1F0T0,1,mm,a4_121820
12683,WP30105,0,A,4,C1D0F1T0,1,mm,a4_121820
9697,WP30105,0,A,4,C1D0F0T1,1,mm,a4_121820
6661,WP30105,0,A,5,C1D1F0T0,2,mm,a4_121820
16066,WP30105,0,A,5,C0D1F1T0,1,mm,a4_121820
1812,WP30105,0,A,5,C1D0F1T0,1,mm,a4_121820
7869,WP30105,0,A,5,C1D0F0T0,1,mm,a4_121820
9568,WP30105,0,A,5,C0D1F0T0,1,mm,a4_121820
7991,WP30105,0,A,5,C0D0F1T0,1,mm,a4_121820
9607,WP30105,0,A,5,C1D1F1T1,1,mm,a4_121820
14189,WP30105,0,A,5,C0D0F1T1,1,mm,a4_121820
1831,WP30105,0,A,5,C1D0F0T1,1,mm,a4_121820
19060,WP30105,0,A,5,C0D1F0T1,1,mm,a4_121820
7914,WP30105,0,A,5,C0D0F0T1,1,mm,a4_121820
6485,WP30105,0,A,5,C0D1F1T1,1,mm,a4_121820
19058,WP30105,0,A,6,C1D0F0T0,1,mm,a4_121820
6377,WP30105,0,A,6,C0D1F0T0,1,mm,a4_121820
16129,WP30105,0,A,6,C0D0F1T1,1,mm,a4_121820
11056,WP30105,0,A,6,C0D0F1T0,1,mm,a4_121820
9693,WP30105,0,A,6,C1D1F0T0,1,mm,a4_121820
8053,WP30105,0,A,6,C0D1F1T1,1,mm,a4_121820
8018,WP30105,0,A,6,C1D1F1T1,1,mm,a4_121820
15916,WP30105,0,A,6,C0D0F0T1,1,mm,a4_121820
5000,WP30105,0,A,6,C1D0F0T1,1,mm,a4_121820
11114,WP30105,0,A,6,C1D0F1T0,1,mm,a4_121820
14183,WP30105,0,A,6,C0D1F0T1,0,mm,a4_121820
11334,WP30105,0,A,6,C0D1F1T0,1,mm,a4_121820
12963,WP30105,0,A,7,C0D1F1T0,1,mm,a4_121820
7968,WP30105,0,A,7,C1D1F1T1,1,mm,a4_121820
12746,WP30105,0,A,7,C1D0F0T1,1,mm,a4_121820
17306,WP30105,0,A,7,C0D1F0T1,1,mm,a4_121820
18804,WP30105,0,A,7,C0D1F1T1,0,mm,a4_121820
12831,WP30105,0,A,7,C0D0F1T0,1,mm,a4_121820
4779,WP30105,0,A,7,C0D1F0T0,1,mm,a4_121820
11267,WP30105,0,A,7,C1D1F0T0,1,mm,a4_121820
15924,WP30105,0,A,7,C1D0F0T0,1,mm,a4_121820
5151,WP30105,0,A,7,C0D0F1T1,1,mm,a4_121820
4822,WP30105,0,A,7,C1D0F1T0,1,mm,a4_121820
16005,WP30105,0,A,7,C0D0F0T1,1,mm,a4_121820
6319,WP30105,0,A,8,C1D0F1T0,1,mm,a4_121820
17506,WP30105,0,A,8,C0D1F0T0,1,mm,a4_121820
6464,WP30105,0,A,8,C1D1F1T1,1,mm,a4_121820
9811,WP30105,0,A,8,C0D1F1T1,1,mm,a4_121820
5023,WP30105,0,A,8,C1D0F0T1,1,mm,a4_121820
12812,WP30105,0,A,8,C1D1F0T0,1,mm,a4_121820
6683,WP30105,0,A,8,C0D0F1T1,1,mm,a4_121820
1041,WP30105,0,A,8,C0D1F1T0,0,mm,a4_121820
14244,WP30105,0,A,8,C0D0F1T0,1,mm,a4_121820
15929,WP30105,0,A,8,C1D0F0T0,1,mm,a4_121820
14251,WP30105,0,A,8,C0D0F0T1,1,mm,a4_121820
5177,WP30105,0,A,8,C0D1F0T1,1,mm,a4_121820
11388,WP30105,0,A,9,C0D1F1T1,1,mm,a4_121820
8727,WP30105,0,A,9,C0D1F1T0,1,mm,a4_121820
18918,WP30105,0,A,9,C0D0F1T0,1,mm,a4_121820
15960,WP30105,0,A,9,C0D1F0T0,1,mm,a4_121820
186,WP30105,0,A,9,C1D0F0T1,1,mm,a4_121820
12767,WP30105,0,A,9,C1D1F1T1,2,mm,a4_121820
5179,WP30105,0,A,9,C0D0F1T1,1,mm,a4_121820
19182,WP30105,0,A,9,C1D0F1T0,1,mm,a4_121820
17624,WP30105,0,A,9,C1D0F0T0,1,mm,a4_121820
12688,WP30105,0,A,9,C1D1F0T0,1,mm,a4_121820
14420,WP30105,0,A,9,C0D1F0T1,1,mm,a4_121820
12935,WP30105,0,A,9,C0D0F0T1,1,mm,a4_121820
17580,WP30105,0,A,10,C0D1F0T0,1,mm,a4_121820
7102,WP30105,0,A,10,C0D1F1T0,1,mm,a4_121820
17252,WP30105,0,A,10,C0D0F1T0,1,mm,a4_121820
11440,WP30105,0,A,10,C0D1F1T1,0,mm,a4_121820
17278,WP30105,0,A,10,C1D0F1T0,1,mm,a4_121820
17288,WP30105,0,A,10,C1D0F0T0,1,mm,a4_121820
6499,WP30105,0,A,10,C1D1F0T0,1,mm,a4_121820
12937,WP30105,0,A,10,C0D0F1T1,1,mm,a4_121820
14257,WP30105,0,A,10,C1D1F1T1,1,mm,a4_121820
4953,WP30105,0,A,10,C1D0F0T1,1,mm,a4_121820
8285,WP30105,0,A,10,C0D1F0T1,1,mm,a4_121820
14504,WP30105,0,A,10,C0D0F0T1,1,mm,a4_121820
6506,WP30105,0,A,11,C1D0F0T1,1,mm,a4_121820
12615,WP30105,0,A,11,C1D0F1T0,1,mm,a4_121820
12606,WP30105,0,A,11,C1D0F0T0,2,mm,a4_121820
5172,WP30105,0,A,11,C0D0F1T0,1,mm,a4_121820
17389,WP30105,0,A,11,C0D1F0T0,1,mm,a4_121820
18849,WP30105,0,A,11,C1D1F1T1,1,mm,a4_121820
9856,WP30105,0,A,11,C0D0F1T1,1,mm,a4_121820
6831,WP30105,0,A,11,C0D0F0T1,1,mm,a4_121820
9553,WP30105,0,A,11,C1D1F0T0,1,mm,a4_121820
12912,WP30105,0,A,11,C0D1F0T1,0,mm,a4_121820
6789,WP30105,0,A,11,C0D1F1T1,1,mm,a4_121820
3967,WP30105,0,A,11,C0D1F1T0,2,mm,a4_121820
17279,WP30105,0,A,12,C0D1F0T0,1,mm,a4_121820
6719,WP30105,0,A,12,C1D0F1T0,1,mm,a4_121820
15756,WP30105,0,A,12,C1D1F1T1,2,mm,a4_121820
6714,WP30105,0,A,12,C1D0F0T0,1,mm,a4_121820
6910,WP30105,0,A,12,C0D1F0T1,1,mm,a4_121820
5191,WP30105,0,A,12,C0D0F1T0,1,mm,a4_121820
8019,WP30105,0,A,12,C1D0F0T1,1,mm,a4_121820
3702,WP30105,0,A,12,C0D0F1T1,1,mm,a4_121820
13085,WP30105,0,A,12,C0D1F1T1,1,mm,a4_121820
5762,WP30105,0,A,12,C0D0F0T1,1,mm,a4_121820
7994,WP30105,0,A,12,C1D1F0T0,1,mm,a4_121820
3912,WP30105,0,A,12,C0D1F1T0,1,mm,a4_121820
3601,WP30105,0,B,1,C1D0F1T0,1,mm,a4_121820
9809,WP30105,0,B,1,C1D0F0T0,1,mm,a4_121820
12983,WP30105,0,B,1,C0D0F1T0,1,mm,a4_121820
17643,WP30105,0,B,1,C0D1F0T0,2,mm,a4_121820
9952,WP30105,0,B,1,C0D0F1T1,1,mm,a4_121820
2671,WP30105,0,B,1,C0D0F0T1,1,mm,a4_121820
1748,WP30105,0,B,1,C1D1F0T0,1,mm,a4_121820
5737,WP30105,0,B,1,C0D1F1T1,1,mm,a4_121820
12600,WP30105,0,B,1,C1D1F1T1,1,mm,a4_121820
56,WP30105,0,B,1,C1D0F0T1,1,mm,a4_121820
10371,WP30105,0,B,1,C0D1F1T0,1,mm,a4_121820
11533,WP30105,0,B,1,C0D1F0T1,1,mm,a4_121820
3604,WP30105,0,B,2,C1D1F1T1,0,mm,a4_121820
6801,WP30105,0,B,2,C0D0F1T0,1,mm,a4_121820
3856,WP30105,0,B,2,C0D1F0T1,1,mm,a4_121820
14994,WP30105,0,B,2,C0D1F1T0,1,mm,a4_121820
1998,WP30105,0,B,2,C0D1F1T1,1,mm,a4_121820
14408,WP30105,0,B,2,C1D0F0T0,1,mm,a4_121820
5703,WP30105,0,B,2,C0D0F0T1,1,mm,a4_121820
15899,WP30105,0,B,2,C1D0F0T1,1,mm,a4_121820
14404,WP30105,0,B,2,C1D0F1T0,1,mm,a4_121820
62,WP30105,0,B,2,C1D1F0T0,1,mm,a4_121820
5675,WP30105,0,B,2,C0D0F1T1,1,mm,a4_121820
8243,WP30105,0,B,2,C0D1F0T0,1,mm,a4_121820
6940,WP30105,0,B,3,C0D1F0T1,1,mm,a4_121820
19559,WP30105,0,B,3,C0D1F1T0,0,mm,a4_121820
11374,WP30105,0,B,3,C1D0F1T0,1,mm,a4_121820
4116,WP30105,0,B,3,C0D1F1T1,1,mm,a4_121820
15948,WP30105,0,B,3,C1D0F0T1,1,mm,a4_121820
12973,WP30105,0,B,3,C1D1F1T1,1,mm,a4_121820
8465,WP30105,0,B,3,C0D0F1T0,1,mm,a4_121820
5424,WP30105,0,B,3,C1D0F0T0,0,mm,a4_121820
7217,WP30105,0,B,3,C0D0F1T1,1,mm,a4_121820
7890,WP30105,0,B,3,C1D1F0T0,1,mm,a4_121820
9999,WP30105,0,B,3,C0D1F0T0,1,mm,a4_121820
2570,WP30105,0,B,3,C0D0F0T1,1,mm,a4_121820
5533,WP30105,0,B,4,C0D0F1T1,1,mm,a4_121820
25,WP30105,0,B,4,C1D1F0T0,1,mm,a4_121820
1056,WP30105,0,B,4,C1D0F0T0,0,mm,a4_121820
3748,WP30105,0,B,4,C1D0F1T0,1,mm,a4_121820
19755,WP30105,0,B,4,C0D1F1T0,1,mm,a4_121820
8833,WP30105,0,B,4,C0D1F0T1,1,mm,a4_121820
17382,WP30105,0,B,4,C1D0F0T1,1,mm,a4_121820
8421,WP30105,0,B,4,C0D1F0T0,1,mm,a4_121820
14619,WP30105,0,B,4,C0D0F1T0,1,mm,a4_121820
8701,WP30105,0,B,4,C0D0F0T1,1,mm,a4_121820
9954,WP30105,0,B,4,C1D1F1T1,1,mm,a4_121820
7216,WP30105,0,B,4,C0D1F1T1,1,mm,a4_121820
5696,WP30105,0,B,5,C0D1F0T0,1,mm,a4_121820
19425,WP30105,0,B,5,C0D1F1T0,1,mm,a4_121820
13077,WP30105,0,B,5,C0D0F1T0,2,mm,a4_121820
17545,WP30105,0,B,5,C1D0F0T1,1,mm,a4_121820
8703,WP30105,0,B,5,C0D1F1T1,1,mm,a4_121820
483,WP30105,0,B,5,C0D1F0T1,1,mm,a4_121820
14564,WP30105,0,B,5,C1D1F1T1,1,mm,a4_121820
873,WP30105,0,B,5,C0D0F1T1,1,mm,a4_121820
14334,WP30105,0,B,5,C1D1F0T0,1,mm,a4_121820
14623,WP30105,0,B,5,C1D0F1T0,1,mm,a4_121820
3930,WP30105,0,B,5,C0D0F0T1,1,mm,a4_121820
2048,WP30105,0,B,5,C1D0F0T0,1,mm,a4_121820
2053,WP30105,0,B,6,C0D1F0T0,1,mm,a4_121820
19093,WP30105,0,B,6,C1D1F0T0,1,mm,a4_121820
11994,WP30105,0,B,6,C0D1F1T0,1,mm,a4_121820
747,WP30105,0,B,6,C0D0F0T1,1,mm,a4_121820
6909,WP30105,0,B,6,C1D0F1T0,1,mm,a4_121820
16088,WP30105,0,B,6,C1D0F0T1,1,mm,a4_121820
8391,WP30105,0,B,6,C1D1F1T1,1,mm,a4_121820
1009,WP30105,0,B,6,C0D1F0T1,1,mm,a4_121820
9997,WP30105,0,B,6,C0D0F1T0,1,mm,a4_121820
7152,WP30105,0,B,6,C1D0F0T0,1,mm,a4_121820
4083,WP30105,0,B,6,C0D1F1T1,1,mm,a4_121820
5476,WP30105,0,B,6,C0D0F1T1,1,mm,a4_121820
19149,WP30105,0,B,7,C1D0F0T1,1,mm,a4_121820
16528,WP30105,0,B,7,C0D0F0T1,1,mm,a4_121820
7434,WP30105,0,B,7,C0D1F1T0,1,mm,a4_121820
13079,WP30105,0,B,7,C1D0F1T0,2,mm,a4_121820
642,WP30105,0,B,7,C1D0F0T0,1,mm,a4_121820
14606,WP30105,0,B,7,C1D1F1T1,1,mm,a4_121820
8579,WP30105,0,B,7,C0D0F1T1,1,mm,a4_121820
11577,WP30105,0,B,7,C0D0F1T0,0,mm,a4_121820
8696,WP30105,0,B,7,C0D1F0T0,1,mm,a4_121820
2635,WP30105,0,B,7,C0D1F0T1,1,mm,a4_121820
17641,WP30105,0,B,7,C1D1F0T0,1,mm,a4_121820
656,WP30105,0,B,7,C0D1F1T1,1,mm,a4_121820
16134,WP30105,0,B,8,C1D1F0T0,1,mm,a4_121820
402,WP30105,0,B,8,C1D1F1T1,1,mm,a4_121820
3906,WP30105,0,B,8,C0D1F1T1,1,mm,a4_121820
2437,WP30105,0,B,8,C0D1F0T1,1,mm,a4_121820
14596,WP30105,0,B,8,C1D0F1T0,1,mm,a4_121820
833,WP30105,0,B,8,C1D0F0T0,1,mm,a4_121820
13457,WP30105,0,B,8,C0D0F0T1,1,mm,a4_121820
741,WP30105,0,B,8,C0D0F1T1,1,mm,a4_121820
731,WP30105,0,B,8,C0D1F0T0,1,mm,a4_121820
1001,WP30105,0,B,8,C0D0F1T0,1,mm,a4_121820
17589,WP30105,0,B,8,C1D0F0T1,1,mm,a4_121820
15144,WP30105,0,B,8,C0D1F1T0,1,mm,a4_121820
7246,WP30105,0,B,9,C1D1F1T1,1,mm,a4_121820
3834,WP30105,0,B,9,C1D0F1T0,1,mm,a4_121820
14827,WP30105,0,B,9,C0D0F0T1,1,mm,a4_121820
616,WP30105,0,B,9,C0D1F0T1,1,mm,a4_121820
16173,WP30105,0,B,9,C1D1F0T0,1,mm,a4_121820
14991,WP30105,0,B,9,C0D1F1T1,1,mm,a4_121820
456,WP30105,0,B,9,C0D0F1T0,1,mm,a4_121820
12653,WP30105,0,B,9,C1D0F0T1,1,mm,a4_121820
5437,WP30105,0,B,9,C0D0F1T1,1,mm,a4_121820
16426,WP30105,0,B,9,C0D1F0T0,1,mm,a4_121820
9020,WP30105,0,B,9,C0D1F1T0,1,mm,a4_121820
3991,WP30105,0,B,9,C1D0F0T0,0,mm,a4_121820
2456,WP30105,0,B,10,C1D0F0T0,1,mm,a4_121820
8311,WP30105,0,B,10,C1D1F0T0,1,mm,a4_121820
10598,WP30105,0,B,10,C0D1F1T0,1,mm,a4_121820
4166,WP30105,0,B,10,C1D1F1T1,1,mm,a4_121820
17648,WP30105,0,B,10,C1D0F0T1,1,mm,a4_121820
19695,WP30105,0,B,10,C0D1F1T1,1,mm,a4_121820
5727,WP30105,0,B,10,C0D0F1T0,1,mm,a4_121820
405,WP30105,0,B,10,C1D0F1T0,1,mm,a4_121820
16393,WP30105,0,B,10,C0D1F0T0,1,mm,a4_121820
2480,WP30105,0,B,10,C0D1F0T1,1,mm,a4_121820
3907,WP30105,0,B,10,C0D0F1T1,1,mm,a4_121820
13291,WP30105,0,B,10,C0D0F0T1,1,mm,a4_121820
16522,WP30105,0,B,11,C0D0F1T1,1,mm,a4_121820
13321,WP30105,0,B,11,C0D1F0T0,1,mm,a4_121820
19563,WP30105,0,B,11,C0D1F1T1,1,mm,a4_121820
18308,WP30105,0,B,11,C0D1F1T0,1,mm,a4_121820
1077,WP30105,0,B,11,C1D0F1T0,1,mm,a4_121820
2292,WP30105,0,B,11,C0D1F0T1,1,mm,a4_121820
14978,WP30105,0,B,11,C1D0F0T0,1,mm,a4_121820
13241,WP30105,0,B,11,C0D0F0T1,1,mm,a4_121820
446,WP30105,0,B,11,C1D1F1T1,1,mm,a4_121820
